team_id,name,short_name,abbreviation,nickname,mascot,color,alternate_color,logo,conference_id,location,venue_id,venue_name
135,Minnesota Golden Gophers,Minnesota,MINN,,Golden Gophers,5e0a2f,fab41c,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,5.0,Minnesota,3953.0,
142,Missouri Tigers,Missouri,MIZ,,Tigers,f1b82d,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,8.0,Missouri,3838.0,
137,Missouri Western Griffons,MO Westrn,MOW,MO Westrn,Griffons,000000,,,,Missouri Western,,
149,Montana Grizzlies,Montana,MONT,Montana,Grizzlies,751D4A,666666,,,Montana,,
147,Montana State Bobcats,Montana St,MTST,,Bobcats,00205c,bc955c,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,20.0,Montana State,3643.0,
60,Morehouse College Maroon Tigers,Morehouse,MOR,Morehouse,Maroon Tigers,000000,,,,Morehouse College,,
93,Murray State Racers,Murray St,MUR,Murray St,Racers,002148,000e00,,,Murray State,,
152,NC State Wolfpack,NC State,NCSU,,Wolfpack,cc0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,1.0,NC State,3670.0,
158,Nebraska Cornhuskers,Nebraska,NEB,,Cornhuskers,d00000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,5.0,Nebraska,3834.0,
160,New Hampshire Wildcats,New Hampshire,UNH,New Hampshire,Wildcats,004990,c3c4c6,,,New Hampshire,,
167,New Mexico Lobos,New Mexico,UNM,,Lobos,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,17.0,New Mexico,3971.0,
166,New Mexico State Aggies,New Mexico St,NMSU,,Aggies,891216,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,12.0,New Mexico State,3601.0,
153,North Carolina Tar Heels,North Carolina,UNC,,Tar Heels,7bafd4,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,1.0,North Carolina,3787.0,
286,North Carolina Wesleyan Battling Bishops,NC Wesleyn,NORTH,NC Wesleyn,Battling Bishops,000000,,,,North Carolina Wesleyan,,
155,North Dakota Fighting Hawks,North Dakota,UND,,Fighting Hawks,00A26B,c2c3c0,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,21.0,North Dakota,3605.0,
75,North Park Vikings,North Park,NOR,North Park,Vikings,000000,,,,North Park,,
249,North Texas Mean Green,North Texas,UNT,,Mean Green,ffffff,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,151.0,North Texas,3825.0,
196,Northeastern State RiverHawks,NE ST,NOR,NE ST,RiverHawks,000000,,,,Northeastern State,,
128,Northern Michigan Wildcats,N Michigan,NMI,N Michigan,Wildcats,000000,,,,Northern Michigan,,
138,Northwest Missouri St Bearcats,NW MO ST,NWMS,NW MO ST,Bearcats,000000,,,,Northwest Missouri St,,
77,Northwestern Wildcats,Northwestern,NU,,Wildcats,582c83,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,5.0,Northwestern,3911.0,
87,Notre Dame Fighting Irish,Notre Dame,ND,,Fighting Irish,0c2340,c99700,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,18.0,Notre Dame,3855.0,
195,Ohio Bobcats,Ohio,OHIO,,Bobcats,295A29,e4bb85,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,15.0,Ohio,3876.0,
194,Ohio State Buckeyes,Ohio State,OSU,,Buckeyes,ce1141,505056,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,5.0,Ohio State,3861.0,
201,Oklahoma Sooners,Oklahoma,OU,,Sooners,a32036,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,8.0,Oklahoma,3835.0,
197,Oklahoma State Cowboys,Oklahoma St,OKST,,Cowboys,000000,dddddd,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,4.0,Oklahoma State,3646.0,
295,Old Dominion Monarchs,Old Dominion,ODU,,Monarchs,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,37.0,Old Dominion,3918.0,
